clean_image,distorted_image,method,psnr
4549932,4549930,ref,42.536728
4549976,4549973,new,32.841637
4549976,4549974,ref,45.36427
4549992,4549989,new,35.87233
4549992,4549990,ref,45.12775
4550012,4550009,new,34.376453
4550012,4550010,ref,40.518417
4550024,4550021,new,42.277138
4550024,4550022,ref,34.20794
4550048,4550045,new,37.08252
4550048,4550046,ref,35.357002
4550060,4550057,new,36.742516
4550060,4550058,ref,32.6026
4550088,4550085,new,35.458694
4550088,4550086,ref,37.72841
4550096,4550093,new,41.666763
4550096,4550094,ref,37.118774
4550140,4550137,new,35.839317
4550140,4550138,ref,39.352295
4550172,4550169,new,37.627327
4550172,4550170,ref,39.059826
4550180,4550177,new,35.969585
4550180,4550178,ref,40.847263
4550188,4550185,new,36.375202
4550188,4550186,ref,37.920288
4550196,4550193,new,36.544918
4550196,4550194,ref,32.956863
4550208,4550205,new,32.856976
4550208,4550206,ref,40.775482
4550248,4550245,new,36.598503
4550248,4550246,ref,50.331234
4550256,4550253,new,29.894432
4550256,4550254,ref,35.26119
4550272,4550269,new,36.977753
4550272,4550270,ref,32.682682
4550304,4550301,new,39.953495
4550304,4550302,ref,36.62068
4550368,4550365,new,38.317905
4550368,4550366,ref,39.669495
4550400,4550397,new,34.85994
4550400,4550398,ref,43.13852
4550464,4550461,new,43.778465
4550464,4550462,ref,34.456623
4550540,4550537,new,35.831215
4550540,4550538,ref,43.95609
4550556,4550553,new,36.006264
4550556,4550554,ref,40.77083
4550564,4550561,new,36.919857
4550564,4550562,ref,41.724335
4550606,4550603,new,42.91071
4550606,4550604,ref,32.372288
4550622,4550619,new,44.781242
4550622,4550620,ref,32.083775
4550634,4550631,new,32.933945
4550634,4550632,ref,40.75093
4550670,4550667,new,40.186504
4550670,4550668,ref,31.70097
4550682,4550679,new,39.387917
4550682,4550680,ref,34.697212
4550690,4550687,new,38.698334
4550690,4550688,ref,32.794144
4550714,4550711,new,41.15052
4550714,4550712,ref,34.729008
4550722,4550719,new,44.88798
4550722,4550720,ref,33.61857
4550794,4550791,new,40.15986
4550794,4550792,ref,35.920357
4550806,4550803,new,38.013336
4550806,4550804,ref,42.7916
4550826,4550823,new,38.512638
4550826,4550824,ref,36.697273
4550846,4550843,new,36.08147
4550846,4550844,ref,37.13659
4550854,4550851,new,40.882587
4550854,4550852,ref,37.26958
4550862,4550859,new,43.757263
4550862,4550860,ref,38.300556
4550910,4550907,new,44.543526
4550910,4550908,ref,38.179573
